d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
28.282828282828284,0.5234,0.42944,0.45656,0.36508,0.65564,0.58664,0.53372,0.43196,0.60084,0.52892,0.76392,0.94176,0.66824,0.61204,0.59988,0.631
29.09090909090909,0.543,0.4476,0.47468,0.38104,0.67624,0.60792,0.5548,0.45064,0.6206,0.54724,0.77064,0.9452,0.68572,0.6328,0.61716,0.64772
29.8989898989899,0.56284,0.46644,0.49412,0.39556,0.69476,0.62884,0.57316,0.46812,0.6396,0.56656,0.7762,0.948,0.70476,0.65216,0.63244,0.66404
30.707070707070706,0.58216,0.48608,0.51224,0.41048,0.71324,0.64936,0.59248,0.48636,0.65948,0.58636,0.78112,0.951,0.7224,0.67104,0.64988,0.67908
31.515151515151516,0.60112,0.50476,0.53184,0.42684,0.73144,0.66988,0.6124,0.50484,0.6788,0.60748,0.78632,0.95408,0.7392,0.68804,0.6662,0.69336
32.323232323232325,0.61884,0.52268,0.55036,0.44292,0.75016,0.68776,0.63312,0.52368,0.6964,0.6262,0.79004,0.95668,0.75508,0.70632,0.68056,0.70736
33.13131313131313,0.63612,0.5406,0.56856,0.45956,0.76744,0.70668,0.65268,0.54408,0.71448,0.64588,0.79472,0.95864,0.77056,0.72488,0.69492,0.72248
33.93939393939394,0.65452,0.55752,0.58652,0.47548,0.78244,0.72348,0.67064,0.56276,0.73216,0.66268,0.79944,0.96104,0.78552,0.74164,0.70892,0.7358
34.74747474747475,0.67244,0.57532,0.60436,0.49016,0.79676,0.7414,0.68852,0.58008,0.74972,0.68156,0.80428,0.96316,0.79964,0.75624,0.72136,0.74908
35.55555555555556,0.69068,0.59228,0.62304,0.50484,0.81092,0.75636,0.70468,0.59688,0.76564,0.69684,0.80864,0.96456,0.81344,0.77148,0.73384,0.76292
