d,0 D,0 J,1 D,1 J,2 D,2 J,3 D,3 J,4 D,4 J,5 D,5 J,6 D,6 J,7 D,7 J
33,0.422125,0.384825,0.365775,0.333525,0.54505,0.521675,0.432575,0.386625,0.505375,0.479275,0.741925,0.9273,0.555225,0.544225,0.50875,0.575625
34,0.43955,0.400475,0.380225,0.347475,0.56565,0.5412,0.450275,0.4031,0.5244,0.49865,0.74845,0.931525,0.574875,0.56235,0.5261,0.59265
35,0.456275,0.41655,0.396875,0.3612,0.586175,0.561275,0.4689,0.4202,0.544025,0.517775,0.754925,0.93585,0.59475,0.581925,0.5431,0.609475
36,0.474775,0.433625,0.412875,0.37505,0.605075,0.580825,0.48725,0.43685,0.5632,0.5345,0.7611,0.939,0.614975,0.6023,0.559425,0.62465
37,0.4922,0.45,0.42905,0.388125,0.624,0.5993,0.506,0.45315,0.5812,0.55255,0.7674,0.942675,0.633875,0.62235,0.57665,0.640475
38,0.51,0.466025,0.445875,0.402725,0.642625,0.617825,0.52485,0.46995,0.599225,0.571675,0.773125,0.94615,0.650975,0.643,0.59185,0.65575
39,0.527575,0.482375,0.4629,0.41645,0.6599,0.636175,0.54365,0.48655,0.617175,0.589525,0.7792,0.948675,0.6687,0.662075,0.60745,0.670275
40,0.544775,0.499625,0.47925,0.430875,0.67755,0.654275,0.562375,0.504375,0.635625,0.6073,0.784075,0.951275,0.6861,0.679425,0.6227,0.683925
41,0.5622,0.51655,0.4963,0.44675,0.69555,0.6721,0.58055,0.5219,0.652525,0.62375,0.78885,0.954125,0.70265,0.695875,0.63735,0.698225
42,0.579325,0.5322,0.5145,0.46175,0.711525,0.6892,0.59875,0.538625,0.66825,0.641025,0.794175,0.9565,0.71875,0.712375,0.6526,0.712825
43,0.5961,0.547875,0.530575,0.476725,0.7274,0.705325,0.616125,0.5561,0.685025,0.657225,0.798825,0.958725,0.73445,0.728025,0.667275,0.72555
44,0.613,0.5641,0.54765,0.49105,0.742475,0.72195,0.63375,0.572175,0.701125,0.6736,0.8031,0.9607,0.749975,0.742075,0.68055,0.73905
45,0.62905,0.579375,0.56415,0.50585,0.758375,0.737375,0.651,0.58835,0.7166,0.689675,0.80735,0.9625,0.763775,0.7567,0.694825,0.751425
46,0.644875,0.595175,0.58035,0.5207,0.772275,0.752825,0.666575,0.605575,0.732825,0.70565,0.8113,0.96425,0.7781,0.769825,0.7068,0.7627
47,0.661775,0.610575,0.596125,0.535125,0.78505,0.76735,0.682775,0.62255,0.74735,0.719675,0.815,0.965375,0.7913,0.782975,0.71995,0.77415
